SurveyID,Type,Record_date,common_name,genus,species,Minute_first_detected,Year,Month,Day,Site,Path,Filename
2,TER,2015-05-05,Horned Lark,Eremophila,alpestris,12,2015,May,5,ARM,ARM\ARM_TER_0413-09152015\STRIPS2_0+1_20150505_045100.flac,STRIPS2_0+1_20150505_045100.flac
2,TER,2015-05-05,Sora,Porzana,carolina,12,2015,May,5,ARM,ARM\ARM_TER_0413-09152015\STRIPS2_0+1_20150505_045100.flac,STRIPS2_0+1_20150505_045100.flac
2,TER,2015-05-05,Killdeer,Charadrius,vociferus,21,2015,May,5,ARM,ARM\ARM_TER_0413-09152015\STRIPS2_0+1_20150505_045100.flac,STRIPS2_0+1_20150505_045100.flac
3,TER,2015-05-08,Horned Lark,Eremophila,alpestris,5,2015,May,8,ARM,ARM\ARM_TER_0413-09152015\STRIPS2_0+1_20150508_044700.flac,STRIPS2_0+1_20150508_044700.flac
3,TER,2015-05-08,Unknown Bird,,,5,2015,May,8,ARM,ARM\ARM_TER_0413-09152015\STRIPS2_0+1_20150508_044700.flac,STRIPS2_0+1_20150508_044700.flac
3,TER,2015-05-08,Unknown Bird,,,15,2015,May,8,ARM,ARM\ARM_TER_0413-09152015\STRIPS2_0+1_20150508_044700.flac,STRIPS2_0+1_20150508_044700.flac
3,TER,2015-05-08,Killdeer,Charadrius,vociferus,35,2015,May,8,ARM,ARM\ARM_TER_0413-09152015\STRIPS2_0+1_20150508_044700.flac,STRIPS2_0+1_20150508_044700.flac
4,TER,2015-05-16,Ring-necked Pheasant,Phasianus,colchicus,17,2015,May,16,ARM,ARM\ARM_TER_0413-09152015\STRIPS2_0+1_20150516_043800.flac,STRIPS2_0+1_20150516_043800.flac
4,TER,2015-05-16,Sora,Porzana,carolina,36,2015,May,16,ARM,ARM\ARM_TER_0413-09152015\STRIPS2_0+1_20150516_043800.flac,STRIPS2_0+1_20150516_043800.flac
5,TER,2015-05-23,Western Meadowlark,Sturnella,neglecta,5,2015,May,23,ARM,ARM\ARM_TER_0403-09042015\STRIPS2_0+1_20150523_053200.flac,STRIPS2_0+1_20150523_053200.flac
5,TER,2015-05-23,Ring-necked Pheasant,Phasianus,colchicus,5,2015,May,23,ARM,ARM\ARM_TER_0403-09042015\STRIPS2_0+1_20150523_053200.flac,STRIPS2_0+1_20150523_053200.flac
5,TER,2015-05-23,Mourning Dove,Zenaida,macroura,5,2015,May,23,ARM,ARM\ARM_TER_0403-09042015\STRIPS2_0+1_20150523_053200.flac,STRIPS2_0+1_20150523_053200.flac
5,TER,2015-05-23,American Robin,Turdus,migratorius,5,2015,May,23,ARM,ARM\ARM_TER_0403-09042015\STRIPS2_0+1_20150523_053200.flac,STRIPS2_0+1_20150523_053200.flac
5,TER,2015-05-23,Red-winged Blackbird,Agelaius,phoeniceus,5,2015,May,23,ARM,ARM\ARM_TER_0403-09042015\STRIPS2_0+1_20150523_053200.flac,STRIPS2_0+1_20150523_053200.flac
5,TER,2015-05-23,Dickcissel,Spiza,americana,5,2015,May,23,ARM,ARM\ARM_TER_0403-09042015\STRIPS2_0+1_20150523_053200.flac,STRIPS2_0+1_20150523_053200.flac
5,TER,2015-05-23,Common Yellowthroat,Geothlypis,trichas,18,2015,May,23,ARM,ARM\ARM_TER_0403-09042015\STRIPS2_0+1_20150523_053200.flac,STRIPS2_0+1_20150523_053200.flac
5,TER,2015-05-23,Northern Cardinal,Cardinalis,cardinalis,28,2015,May,23,ARM,ARM\ARM_TER_0403-09042015\STRIPS2_0+1_20150523_053200.flac,STRIPS2_0+1_20150523_053200.flac
5,TER,2015-05-23,Killdeer,Charadrius,vociferus,33,2015,May,23,ARM,ARM\ARM_TER_0403-09042015\STRIPS2_0+1_20150523_053200.flac,STRIPS2_0+1_20150523_053200.flac
5,TER,2015-05-23,American Crow,Corvus,brachyrhynchos,48,2015,May,23,ARM,ARM\ARM_TER_0403-09042015\STRIPS2_0+1_20150523_053200.flac,STRIPS2_0+1_20150523_053200.flac
5,TER,2015-05-23,Brown-headed Cowbird,Molothrus,ater,55,2015,May,23,ARM,ARM\ARM_TER_0403-09042015\STRIPS2_0+1_20150523_053200.flac,STRIPS2_0+1_20150523_053200.flac
6,TER,2015-06-06,American Robin,Turdus,migratorius,1,2015,Jun,6,ARM,ARM\ARM_TER_0403-09042015\STRIPS2_0+1_20150606_052500.flac,STRIPS2_0+1_20150606_052500.flac
6,TER,2015-06-06,Dickcissel,Spiza,americana,1,2015,Jun,6,ARM,ARM\ARM_TER_0403-09042015\STRIPS2_0+1_20150606_052500.flac,STRIPS2_0+1_20150606_052500.flac
